"nutrient_orig","nutrient","units","description","fao_code"
"Fatty_acid_12_0","Fatty acid 12 0","g","Fatty acid 12:0",NA
"Fatty_acid_12_1","Fatty acid 12 1","g","Fatty acid 24:0",NA
"Fatty_acid_13_0","Fatty acid 13 0","g","Fatty acid 13:0",NA
"Fatty_acid_14_0","Fatty acid 14 0","g","Fatty acid 14:0",NA
"Fatty_acid_14_0_iso","Fatty acid 14 0 iso","g","Fatty acid 14:0, with methyl group occurs at the second to the last carbon in the chain.",NA
"Fatty_acid_14_1","Fatty acid 14 1","g","Fatty acid 14:1",NA
"Fatty_acid_14_1_n5","Fatty acid 14 1 n5","g","Fatty acid 14:1 double bond on 5th carbon-carbon bond",NA
"Fatty_acid_14_1_n7","Fatty acid 14 1 n7","g","Fatty acid 14:1 double bond on 7th carbon-carbon bond",NA
"Fatty_acid_14_1_n9","Fatty acid 14 1 n9","g","Fatty acid 14:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_15_0","Fatty acid 15 0","g","Fatty acid 15:0",NA
"Fatty_acid_15_0_iso","Fatty acid 15 0 iso","g","Fatty acid 15:0, with methyl group occurs at the second to the last carbon in the chain.",NA
"Fatty_acid_15_1","Fatty acid 15 1","g","Fatty acid 15:1",NA
"Fatty_acid_16_0","Fatty acid 16 0","g","Fatty acid 16:0",NA
"Fatty_acid_16_0_iso","Fatty acid 16 0 iso","g","Fatty acid 16:0, with methyl group occurs at the second to the last carbon in the chain.",NA
"Fatty_acid_16_1","Fatty acid 16 1","g","Fatty acid 16:1",NA
"Fatty_acid_16_1_cis","Fatty acid 16 1 cis",NA,NA,NA
"Fatty_acid_16_1_n11","Fatty acid 16 1 n11","g","Fatty acid 16:1 double bond on 11th carbon-carbon bond",NA
"Fatty_acid_16_1_n5","Fatty acid 16 1 n5","g","Fatty acid 16:1 double bond on 5th carbon-carbon bond",NA
"Fatty_acid_16_1_n7","Fatty acid 16 1 n7","g","Fatty acid 16:1 double bond on 7th carbon-carbon bond",NA
"Fatty_acid_16_1_n9","Fatty acid 16 1 n9","g","Fatty acid 16:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_16_1_trans_n7","Fatty acid 16 1 trans n7","g","Fatty acid 16:1 double bond on 7th carbon-carbon bond in trans configuration",NA
"Fatty_acid_16_2","Fatty acid 16 2","g","Fatty acid 16:2",NA
"Fatty_acid_16_2_n4","Fatty acid 16 2 n4","g","Fatty acid 16:2 double bond on 4th carbon-carbon bond",NA
"Fatty_acid_16_2_n6","Fatty acid 16 2 n6","g","Fatty acid 16:2 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_16_3","Fatty acid 16 3","g","Fatty acid 16:3",NA
"Fatty_acid_16_3_n3","Fatty acid 16 3 n3","g","Fatty acid 16:3 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_16_3_n4","Fatty acid 16 3 n4","g","Fatty acid 16:3 double bond on 4th carbon-carbon bond",NA
"Fatty_acid_16_4","Fatty acid 16 4","g","Fatty acid 16:4",NA
"Fatty_acid_16_4_cis","Fatty acid 16 4 cis","g","Fatty acid 16:4 in cis configuration",NA
"Fatty_acid_16_4_n1","Fatty acid 16 4 n1","g","Fatty acid 16:4 double bond on 4th carbon-carbon bond",NA
"Fatty_acid_16_4_n3","Fatty acid 16 4 n3","g","Fatty acid 16:4 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_17_0","Fatty acid 17 0","g","Fatty acid 17:0",NA
"Fatty_acid_17_0_anteiso","Fatty acid 17 0 anteiso","g","Fatty acid 17:0, with methyl group occurs at the third to the last carbon in the chain.",NA
"Fatty_acid_17_0_iso","Fatty acid 17 0 iso","g","Fatty acid 17:0, with methyl group occurs at the second to the last carbon in the chain.",NA
"Fatty_acid_17_1","Fatty acid 17 1","g","Fatty acid 17:1",NA
"Fatty_acid_17_1_cis","Fatty acid 17 1 cis","g","Fatty acid 17:1 in cis configuration",NA
"Fatty_acid_17_1_n7","Fatty acid 17 1 n7","g","Fatty acid 17:1 double bond on 7th carbon-carbon bond",NA
"Fatty_acid_17_1_n8","Fatty acid 17 1 n8","g","Fatty acid 17:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_17_1_n9","Fatty acid 17 1 n9","g","Fatty acid 17:1 double bond on 8th carbon-carbon bond",NA
"Fatty_acid_18_0","Fatty acid 18 0","g","Fatty acid 18:0",NA
"Fatty_acid_18_1","Fatty acid 18 1","g","Fatty acid 18:1 in trans configuration",NA
"Fatty_acid_18_1_cis","Fatty acid 18 1 cis","g","Fatty acid 18:1 in cis configuration",NA
"Fatty_acid_18_1_cis_n7","Fatty acid 18 1 cis n7","g","Fatty acid 18:1 double bond on 7th carbon-carbon bond in cis configuration",NA
"Fatty_acid_18_1_cis_n9","Fatty acid 18 1 cis n9","g","Fatty acid 18:1 double bond on 9th carbon-carbon bond in cis configuration",NA
"Fatty_acid_18_1_n11","Fatty acid 18 1 n11","g","Fatty acid 18:1 double bond on 11th carbon-carbon bond",NA
"Fatty_acid_18_1_n11_fatty_acid_20_1_n9","Fatty acid 18 1 n11 fatty acid 20 1 n9",NA,"Combinations of two fatty acids coming from peer review",NA
"Fatty_acid_18_1_n5","Fatty acid 18 1 n5","g","Fatty acid 18:1 double bond on 5th carbon-carbon bond",NA
"Fatty_acid_18_1_n7","Fatty acid 18 1 n7","g","Fatty acid 18:1 double bond on 7th carbon-carbon bond",NA
"Fatty_acid_18_1_n9","Fatty acid 18 1 n9","g","Fatty acid 18:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_18_1_trans","Fatty acid 18 1 trans","g","Fatty acid 18:1 in trans configuration",NA
"Fatty_acid_18_1_trans_n9","Fatty acid 18 1 trans n9","g","Fatty acid 18:1 double bond on 9th carbon-carbon bond in trans configuration",NA
"Fatty_acid_18_2","Fatty acid 18 2","g","Fatty acid 18:2",NA
"Fatty_acid_18_2_cis","Fatty acid 18 2 cis","g","Fatty acid 18:2 in cis configuration",NA
"Fatty_acid_18_2_cis_n6","Fatty acid 18 2 cis n6","g","Fatty acid 16:2 double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acid_18_2_conj","Fatty acid 18 2 conj","g","Fatty acid 18:2 conjugated",NA
"Fatty_acid_18_2_n6","Fatty acid 18 2 n6","g","Fatty acid 18:2 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_18_2_n6_1","Fatty acid 18 2 n6 1",NA,NA,NA
"Fatty_acid_18_2_trans","Fatty acid 18 2 trans","g","Fatty acid 18:2 in trans configuration",NA
"Fatty_acid_18_2_trans_n6","Fatty acid 18 2 trans n6","g","Fatty acid 16:2 double bond on 6th carbon-carbon bond in trans configuration",NA
"Fatty_acid_18_3","Fatty acid 18 3","g","Fatty acid 18:3",NA
"Fatty_acid_18_3_cis_n3","Fatty acid 18 3 cis n3","g","Fatty acid 18:3 double bond on 3rd carbon-carbon bond in cis configuration",NA
"Fatty_acid_18_3_cis_n6","Fatty acid 18 3 cis n6","g","Fatty acid 18:3 double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acid_18_3_n3","Fatty acid 18 3 n3","g","Fatty acid 18:3 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_18_3_n4","Fatty acid 18 3 n4","g","Fatty acid 18:3 double bond on 4th carbon-carbon bond",NA
"Fatty_acid_18_3_n6","Fatty acid 18 3 n6","g","Fatty acid 18:3 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_18_4","Fatty acid 18 4","g","Fatty acid 18:4",NA
"Fatty_acid_18_4_cis_n3","Fatty acid 18 4 cis n3","g","Fatty acid 18:4 double bond on 3rd carbon-carbon bond in cis configuration",NA
"Fatty_acid_18_4_n1","Fatty acid 18 4 n1","g","Fatty acid 18:4 double bond on 1st carbon-carbon bond",NA
"Fatty_acid_18_4_n3","Fatty acid 18 4 n3","g","Fatty acid 18:4 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_19_0","Fatty acid 19 0","g","Fatty acid 19:0",NA
"Fatty_acid_19_1_n11","Fatty acid 19 1 n11","g","Fatty acid 19:1 double bond on 11th carbon-carbon bond",NA
"Fatty_acid_20_0","Fatty acid 20 0","g","Fatty acid 20:0",NA
"Fatty_acid_20_1","Fatty acid 20 1","g","Fatty acid 20:1",NA
"Fatty_acid_20_1_cis","Fatty acid 20 1 cis","g","Fatty acid 20:1 in cis configuration",NA
"Fatty_acid_20_1_cis_n9","Fatty acid 20 1 cis n9","g","Fatty acid 20:1 double bond on 9th carbon-carbon bond in cis configuration",NA
"Fatty_acid_20_1_n11","Fatty acid 20 1 n11","g","Fatty acid 20:1 double bond on 11th carbon-carbon bond",NA
"Fatty_acid_20_1_n7","Fatty acid 20 1 n7","g","Fatty acid 20:1 double bond on 7th carbon-carbon bond",NA
"Fatty_acid_20_1_n9","Fatty acid 20 1 n9","g","Fatty acid 20:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_20_1_n9_fatty_acid_20_1_n11","Fatty acid 20 1 n9 fatty acid 20 1 n11",NA,"Combinations of two fatty acids coming from peer review",NA
"Fatty_acid_20_2","Fatty acid 20 2","g","Fatty acid 20:2",NA
"Fatty_acid_20_2_cis","Fatty acid 20 2 cis","g","Fatty acid 20:2 in cis configuration",NA
"Fatty_acid_20_2_cis_n6","Fatty acid 20 2 cis n6","g","Fatty acid 20:2 double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acid_20_2_n6","Fatty acid 20 2 n6","g","Fatty acid 20:2 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_20_2_n9","Fatty acid 20 2 n9","g","Fatty acid 20:2 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_20_3","Fatty acid 20 3","g","Fatty acid 20:3",NA
"Fatty_acid_20_3_cis_n6","Fatty acid 20 3 cis n6","g","Fatty acid 20:3 double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acid_20_3_n3","Fatty acid 20 3 n3","g","Fatty acid 20:3 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_20_3_n6","Fatty acid 20 3 n6","g","Fatty acid 20:3 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_20_3_n9","Fatty acid 20 3 n9","g","Fatty acid 20:3 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_20_4","Fatty acid 20 4","g","Fatty acid 20:4",NA
"Fatty_acid_20_4_cis_n6","Fatty acid 20 4 cis n6","g","Fatty acid 20:4 double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acid_20_4_n3","Fatty acid 20 4 n3","g","Fatty acid 20:4 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_20_4_n6","Fatty acid 20 4 n6","g","Fatty acid 20:4 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_20_4_n6_fatty_acid_22_1","Fatty acid 20 4 n6 fatty acid 22 1",NA,"Combinations of two fatty acids coming from peer review",NA
"Fatty_acid_20_5","Fatty acid 20 5","g","Fatty acid 20:5",NA
"Fatty_acid_20_5_cis_n3","Fatty acid 20 5 cis n3","g","Fatty acid 20:5 double bond on 3rd carbon-carbon bond in cis configuration",NA
"Fatty_acid_20_5_n3","Fatty acid 20 5 n3","g","Fatty acid 20:5 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_21_0","Fatty acid 21 0","g","Fatty acid 21:0",NA
"Fatty_acid_21_5","Fatty acid 21 5","g","Fatty acid 21:5",NA
"Fatty_acid_21_5_n3","Fatty acid 21 5 n3","g","Fatty acid 21:5 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_22_0","Fatty acid 22 0","g","Fatty acid 22:0",NA
"Fatty_acid_22_1","Fatty acid 22 1","g","Fatty acid 22:1",NA
"Fatty_acid_22_1_cis","Fatty acid 22 1 cis","g","Fatty acid 22:1 in cis configuration",NA
"Fatty_acid_22_1_n11","Fatty acid 22 1 n11","g","Fatty acid 22:1 double bond on 11th carbon-carbon bond",NA
"Fatty_acid_22_1_n9","Fatty acid 22 1 n9","g","Fatty acid 22:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_22_1_n9_fatty_acid_22_1_n11","Fatty acid 22 1 n9 fatty acid 22 1 n11",NA,"Combinations of two fatty acids coming from peer review",NA
"Fatty_acid_22_1_trans","Fatty acid 22 1 trans","g","Fatty acid 22:1 in trans configuration",NA
"Fatty_acid_22_2","Fatty acid 22 2","g","Fatty acid 22:2",NA
"Fatty_acid_22_2_cis","Fatty acid 22 2 cis","g","Fatty acid 22:2 in cis configuration",NA
"Fatty_acid_22_2_n6","Fatty acid 22 2 n6","g","Fatty acid 22:2 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_22_3","Fatty acid 22 3","g","Fatty acid 22:3",NA
"Fatty_acid_22_3_n3","Fatty acid 22 3 n3","g","Fatty acid 22:3 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_22_3_n6","Fatty acid 22 3 n6","g","Fatty acid 22:3 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_22_4","Fatty acid 22 4","g","Fatty acid 22:4",NA
"Fatty_acid_22_4_cis_n6","Fatty acid 22 4 cis n6","g","Fatty acid 22:4 double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acid_22_4_n3","Fatty acid 22 4 n3","g","Fatty acid 22:4 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_22_4_n6","Fatty acid 22 4 n6","g","Fatty acid 22:4 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_22_5","Fatty acid 22 5","g","Fatty acid 22:5",NA
"Fatty_acid_22_5_cis_n3","Fatty acid 22 5 cis n3","g","Fatty acid 22:5 double bond on 3rd carbon-carbon bond in cis configuration",NA
"Fatty_acid_22_5_n3","Fatty acid 22 5 n3","g","Fatty acid 22:5 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_22_5_n6","Fatty acid 22 5 n6","g","Fatty acid 22:5 double bond on 6th carbon-carbon bond",NA
"Fatty_acid_22_6","Fatty acid 22 6","g","Fatty acid 22:6",NA
"Fatty_acid_22_6_cis_n3","Fatty acid 22 6 cis n3","g","Fatty acid 22:6 double bond on 3rd carbon-carbon bond in cis configuration",NA
"Fatty_acid_22_6_n3","Fatty acid 22 6 n3","g","Fatty acid 22:6 double bond on 3rd carbon-carbon bond",NA
"Fatty_acid_23_0","Fatty acid 23 0","g","Fatty acid 23:0",NA
"Fatty_acid_24_0","Fatty acid 24 0","g","Fatty acid 24:0",NA
"Fatty_acid_24_1","Fatty acid 24 1","g","Fatty acid 24:1",NA
"Fatty_acid_24_1_cis","Fatty acid 24 1 cis","g","Fatty acid 24:1 in cis configuration",NA
"Fatty_acid_24_1_n9","Fatty acid 24 1 n9","g","Fatty acid 24:1 double bond on 9th carbon-carbon bond",NA
"Fatty_acid_24_6","Fatty acid 24 6","g","Fatty acid 24:6",NA
"Fatty_acid_26_0","Fatty acid 26 0","g","Fatty acid 26:0",NA
"Fatty_acid_30_0","Fatty acid 30 0","g","Fatty acid 30:0",NA
"Fatty_acid_4_0","Fatty acid 4 0","g","Fatty acid 4:0",NA
"Fatty_acid_6_0","Fatty acid 6 0","g","Fatty acid 6:0",NA
"Fatty_acid_8_0","Fatty acid 8 0","g","Fatty acid 8:0",NA
"Fatty_acid_9_0","Fatty acid 9 0","g","Fatty acid 9:0",NA
"Fatty_acid_conversion_factor","Fatty acid conversion factor",NA,NA,NA
"Fatty_acid_conversion_factor_for_internal_use","Fatty acid conversion factor for internal use",NA,NA,NA
"Fatty_acid_total_n3","Fatty acid total n3","g","Total fatty acids double bond on 3rd carbon-carbon bond in cis configuration",NA
"Fatty_acid_total_n6","Fatty acid total n6","g","Total fatty acids double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acids_not_identified","Fatty acids not identified",NA,NA,NA
"Fatty_acids_total","Fatty acids total","g","Total fatty acids","FACID"
"Fatty_acids_total_free","Fatty acids total free","g","Total free fatty acids",NA
"Fatty_acids_total_monounsaturated","Fatty acids total monounsaturated","g","Total monounsaturated fatty acids","FAMS"
"Fatty_acids_total_n3_polyunsaturated","Fatty acids total n3 polyunsaturated","g","Total polyunsaturated fatty acids double bond on 3rd carbon-carbon bond","FAPUN3"
"Fatty_acids_total_n6_polyunsaturated","Fatty acids total n6 polyunsaturated","g","Total polyunsaturated fatty acids double bond on 6th carbon-carbon bond","FAPUN6"
"Fatty_acids_total_n6_polyunsaturated_in_cis_configuration","Fatty acids total n6 polyunsaturated in cis configuration","g","Total polyunsaturated fatty acids double bond on 6th carbon-carbon bond in cis configuration",NA
"Fatty_acids_total_n9_polyunsaturated","Fatty acids total n9 polyunsaturated","g","Total polyunsaturated fatty acids double bond on 9th carbon-carbon bond",NA
"Fatty_acids_total_polyunsaturated","Fatty acids total polyunsaturated","g","Total polyunsaturated fatty acids","FAPU"
"Fatty_acids_total_saturated","Fatty acids total saturated","g","Total saturated fatty acids","FASAT"
"Fatty_acids_total_trans","Fatty acids total trans","g","Total trans fatty acids","FATRN"
"Fibre_crude","Fibre crude","g","Crude fibre","FIBC"
"Fibre_determined_by_acid_detergent_method","Fibre determined by acid detergent method","g","Fibre values are determined via acid detergent method","FIBAD"
"Fibre_determined_by_neutral_detergent_method","Fibre determined by neutral detergent method","g","Fibre is determined via neutral detergent method","FIBND"
"Fibre_method_of_determination_unknown_or_variable","Fibre method of determination unknown or variable","g","Fibre with unknown method",NA
"Fibre_total_dietary_determined_gravimetrically_by_the_aoac_total_dietary_fibre_method_prosky_and_similar_methods","Fibre total dietary determined gravimetrically by the aoac total dietary fibre method prosky and similar methods",NA,NA,NA
"Fibre_waterinsoluble","Fibre waterinsoluble","g","Fibre is determined via neutral detergent method","FIBSOL"
"Fibre_watersoluble","Fibre watersoluble","g",NA,"FIBINS"
"Fluoride","Fluoride","mcg","Fluoride, synonym fluorine","FD"
"Folate_method_unknown_or_variable","Folate method unknown or variable",NA,NA,NA
"Folate_total","Folate total","mcg","Folacin, folic acid","FOL"
"Glucose","Glucose","g","Glucose; d-glucose only; inclues only free monosaccharide","GLUS"
"Glutamic_acid","Glutamic acid","mg","Includes only L-glutamic acid","GLU"
"Glutamine","Glutamine","mg","Includes only L-glutamine","GLN"
"Glutamine_gluamic_acid","Glutamine gluamic acid",NA,NA,NA
"Glutamine_plus_glutamic_acid","Glutamine plus glutamic acid",NA,NA,NA
"Glutamine_plus_histidine","Glutamine plus histidine",NA,NA,NA
"Glycine","Glycine","mg","Includes only L-glycine","GLY"
"Glycogen","Glycogen","g","Glycogen","GLYC"
"Histidine","Histidine","mg","Histidine","HIS"
"Hydroxylysine","Hydroxylysine",NA,NA,NA
"Hydroxyproline","Hydroxyproline","mg","Hydroxyproline","HYP"
"Iodine","Iodine","mcg","Iodine","I"
"Iron_total","Iron total","mg","Total iron is sum of heme and non-heme iron","FE"
"Isoleucin","Isoleucin","mg","Isoleucine","ILE"
"Lascorbic_acid","Lascorbic acid","mg","L-ascorbic acid","ASCL"
"Lead","Lead","mcg","Lead","PB"
"Leucine","Leucine","mg","Includes only L-leucine.","LEU"
"Lithium","Lithium","mcg","Lithium","LI"
"Lutein","Lutein","mcg","Lutein","LUTN"
"Lysine","Lysine","mcg","Lycopene","LYCPN"
"Magnesium","Magnesium","mg","Magnesium","MG"
"Manganese","Manganese","mcg","Manganese","MN"
"Mercury","Mercury","mcg","Mercury","HG"
"Methionine","Methionine","mg","Includes only L-methionine.","MET"
"Molybdenum","Molybdenum","mcg","Molybdenum","MO"
"Monoglycerides_total","Monoglycerides total","g","Total monoglycerides","MGLY"
"Neoxanthin","Neoxanthin",NA,NA,NA
"Niacin_equivalents","Niacin equivalents","mg","Niacin equivalents, total (preformed niacin plus niacin)","NIAEQ"
"Niacin_method_or_form_unknown","Niacin method or form unknown",NA,NA,NA
"Niacin_preformed","Niacin preformed","mg","nicotinic acid; nicotinamide","NIA"
"Nickel","Nickel","mcg","Nickel","NI"
"Nitrogen_nonprotein","Nitrogen nonprotein",NA,NA,NA
"Nitrogen_protein","Nitrogen protein",NA,NA,NA
"Nitrogen_total","Nitrogen total",NA,NA,NA
"Ornithine","Ornithine",NA,NA,NA
"Other_fatty_acids_not_specifiied","Other fatty acids not specifiied",NA,NA,NA
"Oxalic_acid","Oxalic acid","mg","Oxalic acid","OXALAC"
"P_h_hydrogen_ion_concentration","P h hydrogen ion concentration",NA,NA,NA
"Pantothenic_acid","Pantothenic acid","mg","D-pantothenate, Vitamin B5","PANTAC"
"Phenylalanine","Phenylalanine","mg","Includes only L-phenylalanine","PHE"
"Phospholipids_total","Phospholipids total","g","Total phospholipids","PHOLIP"
"Phosphorus","Phosphorus","mg","Phosphorus","P"
"Phytic_acid","Phytic acid","mg","Phytic acid","PHYTAC"
"Polysaccharides_nonstarch_watersoluble","Polysaccharides nonstarch watersoluble","g","Polysaccharides non-starch water soluble","PSACNSS"
"Potassium","Potassium","mg","Potassium","K"
"Proline","Proline","mg","Includes only L-proline","PRO"
"Protein_total_calculated_from_protein_nitrogen","Protein total calculated from protein nitrogen","g","Protein, total; calculated from protein nitrogen","PROTCNP"
"Protein_total_calculated_from_total_nitrogen","Protein total calculated from total nitrogen","g","Total protein calculated from nitrogen","PROTCNT"
"Protein_total_method_of_determination_unknown_or_variable","Protein total method of determination unknown or variable",NA,"Protein calculated from unknown/variable method",NA
"Pyridoxine","Pyridoxine","mg","Vitamin B-6 alcohol form.","PYRXN"
"Pyridoxine_h_cl","Pyridoxine h cl",NA,NA,NA
"Retinol","Retinol","mcg","preformed vitamin A, all-trans retinol only","RETOL"
"Riboflavin","Riboflavin","g","Riboflavin","RIBF"
"Rubidium","Rubidium","mg","Rubidium","RB"
"Saccharose","Saccharose",NA,NA,NA
"Salt","Salt","mg","Salt","NACL"
"Saponins","Saponins",NA,NA,NA
"Selenium","Selenium","mcg","Selenium","SE"
"Serine","Serine","mg","Serine includes only L-serine","SER"
"Silver","Silver","mcg","Silver","AG"
"Sitosterol","Sitosterol","mg","Beta-sitosterol only","SITSTR"
"Sodium","Sodium","mg","Sodium","NA"
"Squalene","Squalene",NA,NA,NA
"Starch_total","Starch total","g","Sum of all polysaccharides, including amylose, amylopectin, glycogen and dextrisn","STARCH"
"Sterols_total","Sterols total","mg","Total sterols, non-specific colorimetric method or sum of cholesterol and phytosterols","STERT"
"Stigmasterol_unspecified","Stigmasterol unspecified",NA,NA,NA
"Strontium","Strontium","mcg","Strontium","SR"
"Sucrose","Sucrose","g","Sucrose","SUCS"
"Sugars_total","Sugars total","g",NA,"SUGAR"
"Sulphur","Sulphur","mg","Sulphur","S"
